Rank,Name,week,DB,MAN %,FP/DB,ZONE %,FP/DB,1-HI/MOF C %,FP/DB,2-HI/MOF O %,FP/DB,COVER 0 %,COVER 1 %,COVER 2 %,COVER 2 MAN %,COVER 3 %,COVER 4 %,COVER 6 %,Season
1,NE,1,58,0.259,0.46,0.741,0.42,0.707,0.53,0.293,0.21,0,0.259,0.034,0,0.448,0.034,0.224,2023
2,HOU,1,53,0.283,0.16,0.66,0.23,0.396,0.15,0.585,0.24,0.075,0.208,0.057,0,0.151,0.208,0.245,2023
3,PIT,1,52,0.096,0.13,0.788,0.16,0.365,0.19,0.615,0.25,0,0.096,0.115,0,0.269,0.346,0.058,2023
4,BUF,1,50,0.24,0.11,0.7,0.23,0.4,0.18,0.58,0.35,0,0.24,0,0,0.16,0.38,0.16,2023
5,CHI,1,48,0,0,0.958,0.36,0.729,0.41,0.271,0.17,0,0,0.042,0,0.729,0.083,0.104,2023
6,IND,1,47,0.234,0.16,0.766,0.33,0.574,0.23,0.426,0.37,0.043,0.191,0.149,0,0.383,0.234,0,2023
7,MIN,1,47,0.085,0.83,0.872,0.4,0.511,0.39,0.489,0.47,0.021,0.043,0.149,0.021,0.468,0.255,0,2023
8,MIA,1,46,0.326,0.99,0.587,0.4,0.478,0.48,0.522,0.82,0.087,0.13,0.022,0.109,0.283,0.109,0.174,2023
9,KC,1,45,0.2,0.24,0.733,0.31,0.378,0.2,0.622,0.62,0,0.2,0.222,0,0.133,0.378,0,2023
10,NYG,1,44,0.432,0.23,0.568,0.1,0.75,0.22,0.25,-0.02,0,0.432,0.227,0,0.318,0.023,0,2023
11,CAR,1,42,0.214,0.65,0.786,0.12,0.357,0.49,0.643,0.09,0,0.19,0.048,0.024,0.167,0.262,0.31,2023
12,LAC,1,40,0.25,0.46,0.725,0.34,0.5,0.19,0.5,0.55,0.05,0.2,0,0,0.3,0.1,0.325,2023
13,TEN,1,40,0.375,0.05,0.575,0.19,0.575,0.13,0.4,0.14,0.025,0.325,0.15,0.025,0.25,0.1,0.075,2023
14,WAS,1,39,0.179,0.31,0.718,0.15,0.256,0.31,0.744,0.48,0.051,0.128,0.051,0,0.128,0.436,0.103,2023
15,LA,1,39,0.128,0.58,0.846,0.34,0.513,0.39,0.487,0.34,0,0.103,0.077,0.026,0.41,0.231,0.128,2023
16,NO,1,38,0.158,0.23,0.789,0.48,0.395,0.74,0.605,0.21,0.026,0.079,0.105,0.053,0.316,0.289,0.079,2023
17,TB,1,38,0.105,0.25,0.868,0.32,0.5,0.21,0.5,0.62,0.079,0.026,0.316,0,0.474,0.053,0.026,2023
18,PHI,1,38,0.447,0.44,0.553,0.2,0.711,0.2,0.289,0.59,0.132,0.316,0.079,0,0.395,0.026,0.053,2023
19,DEN,1,37,0.081,0.31,0.784,0.2,0.459,0.23,0.514,0.59,0,0.081,0.054,0,0.378,0.324,0.027,2023
20,DET,1,36,0.306,0.34,0.611,0.27,0.361,0.44,0.611,0.38,0.056,0.25,0.278,0,0.222,0.083,0.028,2023
21,CLE,1,35,0.286,0.28,0.686,0.17,0.771,0.24,0.229,0.57,0.057,0.229,0.057,0,0.543,0.029,0.057,2023
22,JAX,1,35,0.171,0.39,0.829,0.53,0.829,0.56,0.171,0.25,0,0.171,0.086,0,0.657,0.086,0,2023
23,CIN,1,34,0.324,0.04,0.676,0.13,0.735,0.06,0.265,0.21,0,0.324,0.235,0,0.412,0,0.029,2023
24,SF,1,34,0.294,0.74,0.618,0.3,0.471,0.55,0.529,0.51,0,0.235,0.206,0.059,0.265,0.029,0.118,2023
25,ARI,1,33,0.394,0.03,0.576,0.2,0.424,0.07,0.576,0.18,0.061,0.242,0.03,0.091,0.182,0.242,0.121,2023
26,BAL,1,31,0.194,0.5,0.742,0.23,0.484,0.27,0.516,0.27,0.097,0.097,0.097,0,0.387,0.097,0.161,2023
27,GB,1,30,0.2,1.71,0.733,0.38,0.5,0.93,0.5,0.6,0,0.2,0.2,0,0.3,0.067,0.167,2023
28,SEA,1,29,0.138,1.1,0.828,0.21,0.414,0.48,0.586,0.2,0,0.138,0,0,0.276,0.276,0.276,2023
29,LV,1,29,0.31,0.79,0.552,0.4,0.655,0.61,0.345,0.5,0,0.31,0,0,0.345,0.138,0.069,2023
30,NYJ,1,26,0.077,0.2,0.846,0.21,0.385,0.07,0.615,0.53,0,0.077,0.154,0,0.308,0.115,0.269,2023
31,DAL,1,25,0.44,0.37,0.48,0.12,0.52,0.29,0.48,0.16,0.12,0.28,0.04,0.04,0.24,0.08,0.12,2023
32,ATL,1,22,0.136,0.37,0.864,0.39,0.864,0.21,0.136,1.56,0,0.136,0.045,0,0.727,0,0.091,2023
1,NYG,4,51,0.039,0.24,0.961,0.21,0.451,0.25,0.549,0.18,0,0.039,0.02,0,0.431,0.118,0.392,2023
2,WAS,4,51,0.431,0.34,0.49,0.26,0.667,0.33,0.314,0.46,0.039,0.392,0,0,0.275,0.098,0.118,2023
3,ARI,4,47,0.149,0.44,0.809,0.39,0.362,0.42,0.638,0.49,0,0.149,0.17,0,0.213,0.426,0,2023
4,LV,4,46,0.065,-0.31,0.87,0.18,0.239,0.22,0.761,0.12,0.043,0,0.261,0.022,0.239,0.152,0.217,2023
5,PHI,4,44,0.273,0.16,0.727,0.68,0.477,0.63,0.523,0.46,0.068,0.205,0.136,0,0.273,0.318,0,2023
6,LA,4,44,0.136,0.93,0.818,0.31,0.614,0.39,0.386,0.39,0.023,0.114,0.136,0,0.477,0.159,0.045,2023
7,CLE,4,43,0.209,-0.12,0.791,0.16,0.488,0.09,0.512,0.11,0.047,0.163,0.023,0,0.326,0.302,0.14,2023
8,NO,4,43,0.14,0.18,0.86,0.08,0.419,0.11,0.581,0.08,0.023,0.023,0.163,0.093,0.395,0.209,0.093,2023
9,NYJ,4,42,0.286,0.49,0.643,0.27,0.286,0.34,0.714,0.5,0.024,0.143,0.19,0.119,0.143,0.214,0.095,2023
10,GB,4,41,0.098,1.01,0.878,0.22,0.585,0.18,0.415,0.45,0.024,0.073,0.098,0,0.512,0.268,0,2023
11,MIA,4,41,0.195,0.21,0.756,0.28,0.293,0.2,0.707,0.43,0,0.122,0.244,0.073,0.171,0.244,0.098,2023
12,CHI,4,41,0.22,0.81,0.732,0.61,0.561,0.67,0.439,0.79,0.024,0.195,0.098,0,0.366,0.073,0.195,2023
13,CAR,4,39,0.282,0.18,0.692,0.23,0.41,0.25,0.59,0.18,0.154,0.128,0.359,0,0.308,0.026,0,2023
14,DAL,4,39,0.41,0.57,0.564,0.27,0.615,0.5,0.385,0.22,0.154,0.231,0.179,0.026,0.385,0,0,2023
15,TB,4,39,0.282,1.02,0.667,0.34,0.487,0.64,0.513,0.6,0,0.154,0.154,0.128,0.333,0.154,0.026,2023
16,ATL,4,36,0.222,0.67,0.778,0.14,0.806,0.26,0.194,0.24,0.028,0.194,0.028,0,0.611,0.139,0,2023
17,JAX,4,36,0.361,0.42,0.556,0.52,0.5,0.21,0.472,0.72,0,0.278,0.111,0.083,0.25,0.083,0.111,2023
18,CIN,4,35,0.286,0.15,0.686,0.18,0.486,0.13,0.514,0.2,0.057,0.229,0.171,0,0.257,0.2,0.057,2023
19,KC,4,35,0.343,0.68,0.629,0.28,0.543,0.43,0.457,0.44,0,0.343,0,0,0.2,0.4,0.029,2023
20,NE,4,34,0.471,0.14,0.5,0.22,0.765,0.2,0.235,0.1,0,0.471,0.118,0,0.265,0.088,0.029,2023
21,HOU,4,33,0.273,0.98,0.576,0.44,0.485,0.98,0.455,0.69,0.03,0.212,0.152,0.03,0.242,0.03,0.152,2023
22,PIT,4,32,0.063,0.24,0.875,0.16,0.469,0.29,0.531,0.04,0,0.063,0.156,0,0.406,0.094,0.219,2023
23,LAC,4,31,0.065,0.74,0.871,0.4,0.71,0.47,0.29,1,0.032,0.032,0,0,0.677,0.194,0,2023
24,DEN,4,31,0.032,0,0.935,0.62,0.419,0.21,0.581,1.08,0,0.032,0.516,0,0.387,0,0.032,2023
25,DET,4,31,0.194,0.59,0.806,0.36,0.645,0.52,0.355,0.19,0,0.194,0.097,0,0.452,0.065,0.194,2023
26,TEN,4,31,0.323,1.1,0.613,0.32,0.581,0.24,0.419,1.03,0.129,0.194,0.065,0,0.387,0.065,0.097,2023
27,IND,4,30,0.333,0.77,0.633,0.33,0.6,0.73,0.4,0.41,0,0.267,0.067,0.067,0.3,0.1,0.167,2023
28,BUF,4,29,0.276,1.54,0.655,0.89,0.31,1.47,0.69,0.82,0.138,0.138,0.034,0,0.172,0.241,0.207,2023
29,SEA,4,29,0.379,0.12,0.586,0.38,0.586,0.14,0.414,0.81,0.103,0.276,0,0,0.31,0.103,0.172,2023
30,BAL,4,26,0.462,0.38,0.5,0.63,0.808,0.67,0.192,0.59,0.038,0.423,0.077,0,0.346,0,0.077,2023
31,SF,4,22,0.182,0.29,0.773,0.58,0.682,0.44,0.318,1.25,0,0.182,0.045,0,0.5,0.227,0,2023
32,MIN,4,21,0.238,0.87,0.762,0.45,0.619,0.83,0.381,0.1,0,0.19,0.048,0.048,0.429,0.143,0.143,2023
1,CAR,3,62,0.177,0.28,0.823,0.4,0.548,0.57,0.452,0.15,0,0.177,0.129,0,0.371,0.129,0.194,2023
2,MIN,3,55,0.2,0.67,0.709,0.39,0.509,0.7,0.491,0.26,0.018,0.164,0.164,0.018,0.291,0.145,0.109,2023
3,CIN,3,51,0.176,0.06,0.804,0.22,0.451,0.1,0.549,0.25,0,0.118,0.039,0.059,0.333,0.196,0.235,2023
4,LAC,3,50,0.6,0.7,0.34,0.36,0.48,0.73,0.52,0.68,0.4,0.2,0.06,0,0.24,0.04,0,2023
5,LV,3,49,0.388,0.62,0.571,0.24,0.388,0.72,0.612,0.17,0.02,0.102,0.184,0.265,0.286,0.061,0.041,2023
6,GB,3,49,0.429,0.35,0.571,0.36,0.633,0.35,0.367,0.38,0,0.408,0.204,0.02,0.224,0.122,0.02,2023
7,IND,3,49,0.408,0.45,0.592,0.14,0.51,0.18,0.49,0.36,0.122,0.265,0.143,0.02,0.245,0.163,0.041,2023
8,ATL,3,46,0.217,0.22,0.696,0.14,0.63,0.15,0.37,0.16,0.022,0.196,0.109,0,0.413,0.174,0,2023
9,JAX,3,45,0.022,0,0.978,0.36,0.578,0.44,0.422,0.23,0,0.022,0.111,0,0.556,0.067,0.244,2023
10,DAL,3,45,0.267,0.54,0.711,0.28,0.267,0.56,0.733,0.26,0.089,0.178,0.089,0,0.089,0.422,0.111,2023
11,KC,3,41,0.244,0.83,0.683,0.45,0.439,0.79,0.561,0.46,0,0.244,0.195,0,0.195,0.146,0.146,2023
12,LA,3,40,0.4,0.4,0.525,0.34,0.6,0.54,0.4,0.03,0.1,0.3,0.175,0,0.275,0.025,0.05,2023
13,PHI,3,40,0.35,0.14,0.65,0.46,0.675,0.23,0.325,0.59,0.125,0.225,0.075,0,0.45,0.1,0.025,2023
14,BAL,3,40,0.225,0.42,0.725,0.26,0.8,0.37,0.2,0.02,0.025,0.2,0.1,0,0.525,0.1,0,2023
15,NYJ,3,40,0.425,0.14,0.55,0.18,0.525,0.12,0.475,0.2,0.075,0.325,0.3,0.025,0.2,0.05,0,2023
16,SF,3,39,0.462,0.8,0.462,0.33,0.487,0.24,0.513,0.79,0.154,0.308,0.051,0,0.128,0.282,0,2023
17,WAS,3,39,0.179,0.38,0.769,0.06,0.436,0.04,0.564,0.18,0,0.103,0.205,0.077,0.333,0.154,0.077,2023
18,DEN,3,39,0.282,0.35,0.667,0.44,0.641,0.48,0.359,0.24,0.077,0.205,0,0,0.436,0.077,0.154,2023
19,NO,3,38,0.263,0.16,0.684,0.24,0.789,0.23,0.211,0.67,0,0.263,0.026,0,0.526,0.026,0.105,2023
20,SEA,3,38,0.105,1.15,0.895,0.3,0.368,0.32,0.632,0.43,0.026,0.026,0.026,0.053,0.342,0.368,0.158,2023
21,CLE,3,37,0.27,0.36,0.73,0.6,0.595,0.28,0.405,0.92,0.027,0.243,0.135,0,0.351,0.243,0,2023
22,NYG,3,36,0.417,0.13,0.583,0.13,0.694,0.15,0.306,0.09,0.028,0.389,0.028,0,0.306,0.25,0,2023
23,BUF,3,35,0.143,1.71,0.857,0.46,0.229,0.21,0.771,0.77,0.029,0.086,0.257,0.029,0.143,0.343,0.114,2023
24,DET,3,34,0.382,0.72,0.529,0.18,0.471,0.69,0.529,0.11,0.059,0.324,0.176,0,0.147,0.029,0.176,2023
25,HOU,3,31,0.194,1.97,0.742,0.37,0.677,0.56,0.323,0.86,0.065,0.129,0.032,0,0.548,0.129,0.032,2023
26,NE,3,30,0.4,0.16,0.6,0.61,0.5,0.6,0.5,0.26,0.033,0.367,0.1,0,0.133,0.167,0.2,2023
27,PIT,3,30,0.367,1.31,0.633,0.21,0.5,0.96,0.5,0.27,0,0.267,0.233,0.1,0.267,0.1,0.033,2023
28,TEN,3,30,0.3,0.27,0.633,0.09,0.733,0.17,0.267,0.06,0,0.3,0.133,0,0.4,0.033,0.067,2023
29,CHI,3,29,0.517,0.11,0.414,0.23,0.414,0.13,0.586,0.45,0.138,0.379,0.103,0,0.034,0.276,0,2023
30,TB,3,28,0.214,0.97,0.786,0.15,0.429,0.27,0.571,0.36,0.071,0.143,0.036,0,0.286,0.107,0.357,2023
31,MIA,3,28,0.393,1.48,0.571,1.17,0.393,1.09,0.607,1.35,0,0.143,0.143,0.25,0.25,0.036,0.143,2023
32,ARI,3,23,0.609,0.45,0.391,0.59,0.783,0.39,0.217,0.91,0.13,0.478,0.043,0,0.304,0.043,0,2023
1,LA,2,60,0.217,0.14,0.75,0.22,0.567,0.25,0.417,0.31,0,0.2,0.15,0.017,0.367,0.217,0.017,2023
2,HOU,2,54,0.037,0.38,0.833,0.47,0.667,0.56,0.296,0.16,0.019,0.019,0.074,0,0.611,0.148,0,2023
3,JAX,2,49,0.245,0.37,0.694,0.21,0.449,0.27,0.551,0.21,0.041,0.143,0.082,0.061,0.286,0.224,0.102,2023
4,CLE,2,49,0.327,0.15,0.653,0.22,0.735,0.31,0.265,0.18,0,0.327,0.143,0,0.388,0.02,0.102,2023
5,NE,2,47,0.149,0.23,0.83,0.21,0.553,0.15,0.447,0.48,0,0.149,0.021,0,0.404,0.064,0.34,2023
6,MIN,2,46,0.152,0.9,0.783,0.53,0.5,0.56,0.5,0.73,0.022,0.087,0.087,0.043,0.37,0,0.326,2023
7,SEA,2,45,0.222,0.57,0.711,0.42,0.422,0.36,0.578,0.62,0.022,0.111,0.2,0.089,0.311,0.178,0.022,2023
8,WAS,2,45,0.333,0.55,0.644,0.45,0.533,0.27,0.467,0.7,0.044,0.289,0.044,0,0.222,0.111,0.267,2023
9,KC,2,45,0.156,1.24,0.822,0.26,0.6,0.39,0.4,0.68,0.044,0.111,0.156,0,0.467,0.156,0.044,2023
10,NYG,2,45,0.133,0.21,0.733,0.42,0.444,0.59,0.556,0.48,0.044,0.089,0.111,0,0.311,0.222,0.089,2023
11,LAC,2,44,0.295,0.82,0.614,0.35,0.568,0.58,0.432,0.3,0,0.295,0.182,0,0.273,0.159,0,2023
12,CIN,2,43,0.442,0.6,0.535,0.21,0.442,0.44,0.558,0.34,0.07,0.233,0.07,0.14,0.256,0.07,0.14,2023
13,DEN,2,42,0.19,0.59,0.619,0.58,0.167,0.47,0.81,0.67,0.024,0.119,0.19,0.048,0.048,0.31,0.071,2023
14,NO,2,41,0.195,0.18,0.732,0.23,0.683,0.25,0.317,0.11,0,0.195,0,0,0.463,0.098,0.171,2023
15,DAL,2,40,0.25,0.39,0.675,0.28,0.475,0.35,0.525,0.62,0.025,0.2,0,0.025,0.275,0.375,0.025,2023
16,BAL,2,40,0.35,0.81,0.65,0.38,0.625,0.67,0.375,0.3,0.05,0.3,0.15,0,0.325,0.15,0.025,2023
17,BUF,2,39,0.487,0.74,0.462,0.27,0.487,0.57,0.513,0.6,0.103,0.359,0.103,0.026,0.128,0.154,0.077,2023
18,CAR,2,39,0.256,0.81,0.744,0.15,0.615,0.32,0.385,0.33,0.026,0.231,0.205,0,0.385,0.103,0.051,2023
19,TB,2,38,0.105,0.23,0.842,0.52,0.421,0.69,0.579,0.35,0,0.105,0.368,0,0.316,0.053,0.105,2023
20,ATL,2,38,0.079,1.51,0.842,0.32,0.526,0.37,0.474,0.41,0.026,0.053,0.026,0,0.474,0.316,0.026,2023
21,DET,2,37,0.216,0.25,0.784,0.76,0.703,0.87,0.297,0.11,0,0.216,0.027,0,0.486,0.027,0.243,2023
22,CHI,2,36,0.167,1.38,0.833,0.28,0.583,0.44,0.417,0.48,0.028,0.139,0.139,0,0.444,0.139,0.111,2023
23,IND,2,35,0.286,0.71,0.714,0.25,0.6,0.47,0.4,0.25,0,0.286,0.143,0,0.314,0.257,0,2023
24,NYJ,2,34,0.412,0.77,0.559,0.03,0.588,0.52,0.412,0.07,0,0.412,0.206,0,0.176,0.176,0,2023
25,PIT,2,32,0.406,0.17,0.594,0.51,0.75,0.39,0.25,0.33,0,0.406,0.188,0,0.344,0,0.063,2023
26,MIA,2,32,0.281,0.78,0.656,0.3,0.469,0.4,0.531,0.44,0.094,0.188,0.25,0,0.281,0.125,0,2023
27,ARI,2,32,0.313,1.09,0.594,0.34,0.625,0.89,0.375,0.3,0.094,0.219,0.031,0,0.344,0.125,0.094,2023
28,PHI,2,31,0.032,0,0.935,0.42,0.226,0.11,0.774,0.48,0.032,0,0.355,0,0.226,0.323,0.032,2023
29,TEN,2,29,0.276,0.29,0.724,0.55,0.621,0.44,0.379,0.54,0,0.241,0.138,0.034,0.379,0.069,0.138,2023
30,SF,2,26,0.308,0.25,0.692,0.35,0.462,0.37,0.538,0.27,0.115,0.192,0.038,0,0.269,0.269,0.115,2023
31,GB,2,26,0.346,0.96,0.615,0.47,0.577,0.93,0.423,0.6,0,0.308,0.231,0.038,0.269,0.115,0,2023
32,LV,2,25,0.32,0.75,0.68,0.21,0.48,0.55,0.52,0.23,0.04,0.28,0.2,0,0.24,0.12,0.12,2023
1,WAS,5,60,0.117,0.88,0.85,0.26,0.45,0.31,0.55,0.49,0.05,0.067,0.383,0,0.383,0.083,0,2023
2,CIN,5,51,0.157,1.22,0.784,0.38,0.294,0.49,0.706,0.49,0.059,0.098,0.196,0,0.196,0.275,0.118,2023
3,MIN,5,50,0.4,0.58,0.52,0.28,0.32,0.42,0.68,0.37,0.08,0.24,0.14,0.08,0.04,0.34,0,2023
4,JAX,5,47,0.085,0.46,0.851,0.32,0.34,0.34,0.66,0.4,0.021,0.064,0.191,0,0.277,0.191,0.191,2023
5,BAL,5,45,0.467,0.12,0.467,0.31,0.778,0.19,0.222,0.22,0.022,0.422,0.111,0.022,0.333,0.022,0,2023
6,PHI,5,43,0.163,0.46,0.744,0.36,0.581,0.56,0.419,0.27,0.047,0.116,0,0,0.465,0.093,0.186,2023
7,NYG,5,43,0.209,0.28,0.791,0.24,0.535,0.22,0.465,0.28,0,0.209,0,0,0.326,0.093,0.372,2023
8,CAR,5,43,0.349,1.05,0.558,0.18,0.628,0.4,0.372,0.59,0.07,0.279,0.116,0,0.349,0.093,0,2023
9,KC,5,43,0.233,0.77,0.721,0.37,0.488,0.59,0.512,0.31,0.07,0.14,0.14,0.023,0.349,0.163,0.07,2023
10,BUF,5,42,0.119,1.1,0.81,0.47,0.5,0.38,0.5,0.97,0.024,0.071,0.167,0.024,0.405,0.214,0.024,2023
11,DEN,5,41,0.293,0.61,0.512,0.53,0.415,0.34,0.585,0.58,0.024,0.268,0,0,0.122,0.317,0.073,2023
12,LA,5,41,0.39,0.41,0.61,0.41,0.78,0.45,0.22,0.27,0.049,0.317,0,0.024,0.463,0.146,0,2023
13,ATL,5,39,0.128,0.94,0.872,0.41,0.641,0.55,0.359,0.34,0,0.128,0.077,0,0.513,0.282,0,2023
14,TEN,5,37,0.162,0.45,0.784,0.28,0.568,0.34,0.432,0.24,0,0.162,0.135,0,0.378,0.135,0.135,2023
15,PIT,5,36,0.167,0.94,0.806,0.26,0.361,0.24,0.639,0.44,0.028,0.139,0.056,0,0.222,0.194,0.333,2023
16,LV,5,36,0.25,0.18,0.667,0.24,0.694,0.17,0.306,0.67,0,0.25,0.111,0,0.472,0.028,0.056,2023
17,HOU,5,35,0.314,0.27,0.657,0.48,0.314,0.34,0.686,0.43,0,0.143,0.314,0.171,0.171,0.114,0.057,2023
18,ARI,5,35,0.257,0.68,0.743,0.21,0.686,0.45,0.314,0.07,0.029,0.229,0.2,0,0.457,0.057,0.029,2023
19,GB,5,34,0.059,0,0.912,0.22,0.559,0.26,0.441,0.2,0,0.059,0.176,0,0.5,0.206,0.029,2023
20,NYJ,5,33,0.273,0.07,0.667,0.41,0.636,0.28,0.364,0.3,0.03,0.242,0.061,0,0.394,0.121,0.091,2023
21,NE,5,33,0.364,-0.11,0.606,0.23,0.545,0.01,0.455,0.21,0,0.364,0.061,0,0.182,0.364,0,2023
22,CHI,5,33,0.455,0.85,0.485,0.42,0.606,0.57,0.394,1.3,0.121,0.333,0.03,0,0.242,0.212,0,2023
23,MIA,5,32,0.219,1.15,0.625,0.36,0.25,1.1,0.75,0.43,0,0.125,0.281,0.094,0.063,0.156,0.125,2023
24,NO,5,30,0.233,0.22,0.733,0.51,0.567,0.6,0.433,0.53,0.033,0.167,0.233,0.033,0.4,0.067,0.033,2023
25,DAL,5,30,0.367,0.71,0.633,-0.02,0.6,0.37,0.4,0.07,0,0.367,0.233,0,0.233,0.167,0,2023
26,DET,5,30,0.133,1.42,0.8,0.47,0.633,0.74,0.367,0.67,0.067,0.067,0.033,0,0.533,0.033,0.2,2023
27,IND,5,28,0.393,0.4,0.607,0.35,0.5,0.57,0.5,0.16,0.071,0.321,0.179,0,0.179,0.179,0.071,2023
28,SF,5,26,0.192,1.1,0.731,0.85,0.731,1.02,0.269,0.97,0,0.192,0.115,0,0.538,0.077,0,2023
1,IND,6,60,0.167,0.46,0.767,0.19,0.467,0.12,0.533,0.32,0.033,0.117,0.133,0.017,0.333,0.183,0.117,2023
2,NO,6,53,0.264,0.12,0.698,0.42,0.415,0.2,0.585,0.41,0.075,0.189,0.075,0,0.226,0.245,0.151,2023
3,ATL,6,52,0.25,0.08,0.712,0.37,0.423,0.39,0.577,0.35,0.038,0.096,0.192,0.115,0.327,0.154,0.038,2023
4,PHI,6,50,0.14,0.5,0.82,0.16,0.38,0.19,0.62,0.35,0,0.14,0.02,0,0.24,0.38,0.18,2023
5,DET,6,48,0.167,0.26,0.813,0.52,0.458,0.67,0.542,0.3,0.021,0.125,0.146,0.021,0.333,0.229,0.104,2023
6,SEA,6,48,0.063,-0.01,0.854,0.31,0.563,0.29,0.438,0.23,0.021,0.042,0.104,0,0.521,0.146,0.083,2023
7,ARI,6,46,0.109,0.07,0.848,0.31,0.478,0.32,0.522,0.24,0,0.065,0,0.043,0.391,0.304,0.152,2023
8,KC,6,46,0.13,0.3,0.826,0.44,0.478,0.48,0.522,0.34,0.022,0.087,0.087,0.022,0.391,0.239,0.109,2023
9,NYG,6,44,0.227,0.31,0.705,0.23,0.432,0.3,0.568,0.19,0.023,0.182,0.114,0.023,0.25,0.227,0.114,2023
10,LAC,6,43,0.326,0.84,0.628,0.22,0.512,0.24,0.488,0.59,0.07,0.256,0.093,0,0.256,0.279,0,2023
11,CAR,6,43,0.279,0.48,0.698,0.23,0.744,0.22,0.233,0.56,0.047,0.233,0,0,0.512,0.07,0.116,2023
12,NYJ,6,40,0.35,0.19,0.625,0.26,0.65,0.29,0.35,0.12,0.025,0.325,0.025,0,0.325,0.1,0.175,2023
13,TB,6,40,0.15,0.19,0.85,0.2,0.325,0.28,0.675,0.16,0,0.15,0.175,0,0.2,0.4,0.075,2023
14,CIN,6,39,0.256,0.59,0.744,0.31,0.564,0.44,0.436,0.31,0,0.231,0.026,0.026,0.333,0.308,0.077,2023
15,DAL,6,38,0.263,0.75,0.737,0.35,0.421,0.3,0.579,0.57,0.053,0.105,0.105,0.105,0.342,0.132,0.158,2023
16,BAL,6,37,0.243,0.13,0.676,0.34,0.541,0.34,0.459,0.45,0.027,0.216,0.081,0,0.297,0.27,0.027,2023
17,CLE,6,37,0.108,0.29,0.892,0.14,0.432,0.29,0.568,0.05,0,0.108,0.27,0,0.324,0.297,0,2023
18,NE,6,37,0.162,0.19,0.757,0.18,0.514,0.2,0.486,0.18,0.027,0.135,0.081,0,0.378,0.216,0.081,2023
19,JAX,6,35,0.057,0,0.886,0.37,0.6,0.13,0.4,0.93,0,0.057,0.143,0,0.543,0.143,0.057,2023
20,MIN,6,33,0.364,0.12,0.576,0.21,0.667,0.16,0.333,0.61,0,0.333,0.091,0.03,0.303,0.182,0,2023
21,LV,6,33,0.333,0.27,0.576,0.33,0.455,0.4,0.545,0.43,0.091,0.242,0.212,0,0.212,0.152,0,2023
22,BUF,6,32,0.313,0.6,0.656,0.23,0.656,0.43,0.344,0.53,0,0.313,0.031,0,0.344,0.094,0.188,2023
23,MIA,6,32,0.063,2.06,0.906,0.46,0.531,0.32,0.469,1.07,0.063,0,0.125,0,0.531,0.094,0.156,2023
24,CHI,6,32,0.188,-0.12,0.813,0.22,0.406,0.16,0.594,0.16,0.188,0,0.344,0,0.438,0.031,0,2023
25,SF,6,31,0.613,0.37,0.323,0.13,0.871,0.3,0.097,0.17,0.032,0.581,0.032,0,0.29,0,0,2023
